recording,tp,fp,fn,sens,ppv,f1,elapsed_seconds
1,29928,11,4,0.99986636,0.99963259,0.99974946,2.3246
2,42387,192,93,0.99781073,0.99549073,0.99664938,2.9176
3,34204,49,49,0.99856947,0.99856947,0.99856947,2.5846
4,31184,22,22,0.99929501,0.99929501,0.99929501,2.3739
5,28738,24,22,0.99923505,0.99916557,0.99920031,2.2411
6,30970,71,34,0.99890337,0.99771270,0.99830768,2.5133
7,37449,24,24,0.99935954,0.99935954,0.99935954,2.7594
8,41139,3,2,0.99995139,0.99992708,0.99993923,2.8356
9,31572,1,0,1.00000000,0.99996833,0.99998416,2.4751
10,32036,260,254,0.99213379,0.99194947,0.99204162,2.6180
11,33141,25,17,0.99948730,0.99924622,0.99936675,2.4719
12,35523,228,100,0.99719282,0.99362256,0.99540449,2.9624
13,39782,1,1,0.99997486,0.99997486,0.99997486,2.7991
14,29017,8,2,0.99993108,0.99972438,0.99982772,2.4707
15,33823,27,142,0.99581923,0.99920236,0.99750793,2.6466
16,34874,73,60,0.99828248,0.99791112,0.99809676,2.6470
17,34287,1760,2061,0.94329812,0.95117486,0.94722011,2.8176
18,30252,8,7,0.99976866,0.99973562,0.99975214,2.5013
19,38767,15,2,0.99994841,0.99961322,0.99978079,2.8779
20,34441,34,30,0.99912970,0.99901378,0.99907174,2.6151
21,35074,16,14,0.99960100,0.99954403,0.99957252,2.6258
22,34773,204,26,0.99925285,0.99416760,0.99670374,2.6674
23,28995,41,32,0.99889758,0.99858796,0.99874274,2.2717
24,24505,463,108,0.99561207,0.98145626,0.98848349,2.0542
25,24394,1244,1443,0.94414986,0.95147827,0.94779990,2.2571
26,27574,15,94,0.99660257,0.99945631,0.99802740,2.3066
27,31991,83,110,0.99657332,0.99741223,0.99699260,2.5921
28,23753,23,7,0.99970539,0.99903264,0.99936890,2.1033
29,28056,68,27,0.99903856,0.99758214,0.99830982,2.3001
30,27773,49,139,0.99502006,0.99823880,0.99662683,2.3792
31,27833,53,171,0.99389373,0.99809940,0.99599213,2.3254
32,31919,72,47,0.99852969,0.99774937,0.99813937,2.2845
33,30528,555,101,0.99670247,0.98214458,0.98936998,2.5832
34,31055,21,114,0.99634252,0.99932424,0.99783115,2.4977
35,23940,55,16,0.99933211,0.99770786,0.99851932,1.9162
aggregate,1115677,5798,5375,0.99520540,0.99483002,0.99501767,87.6175
